locale_id,locale_name,locale_type,locale_is_country,locale_is_subdivision,locale_is_city,wv_article_id,locale_wv_is_part_of,locale_id_is_part_of_id,locale_geo_lat,locale_geo_long
d5a3814e728c86ac,bembibre,city,false,false,true,178146,castile and leon,6218,42.615398,-6.416971
7f766dd3e34eaf17,swamithoppe,city,false,false,true,34784,far southern tamil nadu,11456,8.1200,77.4900
5864d643748f0533,pattimattom,city,false,false,true,112485,central kerala,6517,10.024405238385627,76.44999023437504
ec5a5edb47a0aaa0,troisdorf,city,false,false,true,36740,cologne lowland,7958,50.816111,7.155556
6d04ad2340bd27c2,rimouski,city,false,false,true,29704,bas-saint-laurent,"",48.4500,-68.5333
825d0f4a2f887bb6,ambala division,region,false,true,false,937,haryana,14182,30.37818,76.77670
c2f5fc16b6f42160,pepin,city,false,false,true,27256,northwest wisconsin,25323,44.442500,-92.147778
095e7ed7902017f0,newlyn,city,false,false,true,24300,cornwall,8276,50.101,-5.553
0dd5254560414ade,prairies,region,false,true,false,28397,canada,5755,54.78,-106.48
e9d9554fb79bc8cb,chambord,city,false,false,true,6734,centre-val de loire,"",47.6139,1.52
2aaa3e933daf7c04,el desemboque,city,false,false,true,9366,sonora,33294,30.568333,-113.006667
24fe50830d7938db,beach (north dakota),city,false,false,true,3086,badlands (north dakota),2238,46.915833,-104.004444
be73511b3916453a,gundaroo,city,false,false,true,13700,southern highlands (new south wales),33551,-35.0333,149.2500
71c50a44468d4462,taunton (massachusetts),city,false,false,true,35429,bristol-norfolk,"",41.90000,-71.08972
3170d8682a86aab4,southern lower saxony,region,false,true,false,33570,lower saxony,20403,51.8667,9.5000
91e0eea701e9a58d,bistrița năsăud county,region,false,true,false,3914,transylvania,36563,47.1389,24.5003
0ca63dfa08eefe30,tavastia proper,region,false,true,false,124058,southern finland,33543,60.85026,24.32922
7ce4f869ad16e4ef,kerava,city,false,false,true,17321,uusimaa,124059,60.4000,25.1000
4b786d99b8830b8b,vrsar,city,false,false,true,38218,istria,15904,45.1500,13.6000
fc6ecf7885aaaa57,mary province,region,false,true,false,21553,turkmenistan,36952,37.0000,62.0000
093f03758e5dd2b5,akçakoca,city,false,false,true,433,western karadeniz,38945,41.0833,31.1167
8c0c51056e58791f,wrexham,city,false,false,true,39640,clwyd,152043,53.0463,-2.9932
4f766bd8dde39255,ellenville,city,false,false,true,111364,ulster county,37178,41.716944,-74.393333
f09f13b9ac47ccef,oimachi,district,false,false,false,158997,tokyo,36215,35.606544,139.734656
7c45cfcaffdc1607,trenton,city,false,false,true,36670,mercer county (new jersey),22024,40.21694,-74.74306
0fcb44d999805e2e,alicante (province),region,false,true,false,8333,valencian community,37548,38.354,-0.408
1ab9430a4b1d5fdb,westerwald,region,false,true,false,123165,germany,12645,50.6667,7.8333
c748510c4324ff86,muranska planina,park,false,false,false,152936,central slovakia,6575,48.759994,20.060928
944e1aca68e1edc5,abbeville (louisiana),city,false,false,true,189252,south central louisiana,166309,29.9725,-92.129167
245ffe9aeb78de31,marlborough (new zealand),region,false,true,false,21439,south island,33657,-41.7,173.6
a1c7b21d8c446b34,white mountain national forest,park,false,false,false,39232,new england,24262,44.1,-71.4
778e1a44e441ac2b,lightning ridge,city,false,false,true,19661,northwestern new south wales,196752,-29.433333,147.966667
136b51cd06fd26c2,georgian military highway,"","","","",121044,"","",42.578872,44.524727
280c78e53198499c,khorasan,region,false,true,false,17457,iran,15713,33.28462,58.13965
8c4bd47cefc5887c,oxfordshire way,"","","","",119486,"","",51.754,-1.309
178e49e52bab6797,friuli venezia giulia,region,false,true,false,12132,northeast italy,24973,46.1,13.12
43a3d205c1e1d930,areguá,city,false,false,true,1519,southern paraneña,33590,-25.3167,-57.3833
a1a10ac8fe009ca3,maranhão,region,false,true,false,21330,northeast (brazil),24920,-6.1833,-45.6167
9a5168c55684e693,antsiranana,city,false,false,true,163293,antsiranana province,1318,-12.278,49.292
65852b97f4dcadf3,east gippsland rail trail,"","","","",150376,"","","",""
4b552d69ce5aeee5,torridon,city,false,false,true,36438,ross and cromarty,154009,57.545313,-5.51651
38da623f71c95847,greater new haven,region,false,true,false,13296,connecticut,8107,41.379,-72.819
5c58f485deda2f47,bangor (maine),city,false,false,true,2661,highlands (maine),14606,44.80175,-68.77076
1ead9e3b5754c063,trail of the hermit saints,"","","","",148693,"","","",""
8a23cd9eb67deebb,phonsavan,city,false,false,true,27527,central laos,6518,19.4500,103.2167
1678d852d9432dcb,nouabalé ndoki national park,park,false,false,false,137618,sangha and likouala,31142,2.27,16.52
f654718e39d7c0f1,luxembourg (belgium),region,false,true,false,20561,wallonia,38363,49.9167,5.4167
a1a50bd9401c9f58,little corn island,city,false,false,true,19880,caribbean nicaragua,6025,12.166667,-83.033333
20c2df1cf0b39724,milton (vermont),city,false,false,true,22397,chittenden county,7424,44.6397,-73.1103
fb5703c22f617edd,dovrefjell,park,false,false,false,9998,norway,25339,62.1,9.42
0b4785f52d0b996a,laem sing,city,false,false,true,18710,phuket,27543,7.968315,98.279528
d0e37035f1ba2409,rancho mirage,city,false,false,true,29184,riverside county,29819,33.769167,-116.421111
4bc288ff1541d9e6,chéticamp,city,false,false,true,6944,cape breton island,5865,46.6294,-61.0130
cf1d6e487048c251,kilkivan,city,false,false,true,17556,central queensland,5937,-26.0833,152.2333
5afd71aa25bb3a40,colbost,city,false,false,true,155865,skye,33022,57.424,-6.658
51222177099d9def,rapolano terme,city,false,false,true,29240,siena (province),32706,43.2833,11.6000
01616ac4c6cbb930,big pine key,city,false,false,true,3779,florida keys,11749,24.68617,-81.360988
381aa6a74bc5db14,thessaly,region,false,true,false,35842,greece,13351,39.6,22.2
e5d36ad558eed641,black diamond and turner valley,city,false,false,true,167804,calgary region,5609,50.680,-114.253
d2e3b3949b2de220,sedbergh,city,false,false,true,32051,cumbria,8749,54.322,-2.526
07b113ca71a9e26e,dan chang,city,false,false,true,8970,chao phraya basin,6820,14.841666666667,99.697222222222
799408c730e81e59,morvan regional natural park,park,false,false,false,126526,bourgogne-franche-comté,"",47.275539,4.099081
884d70617f0f0b1e,châtillon sur seine,city,false,false,true,186996,bourgogne-franche-comté,"",47.858333,4.574167
bc7b00a44a849ba3,arba minch,city,false,false,true,125626,southern ethiopia,33541,6.01945,37.55230
ece5ec33847bc354,toulon,city,false,false,true,36470,var,37694,43.13,5.92
2710d4253ff1cd02,port erin,city,false,false,true,153717,isle of man,15848,54.0856,-4.7572
b5904ca5f450b8cc,letenye,city,false,false,true,168357,zala county,160383,46.4312,16.7270
9cef97d7378d31fc,naperville,city,false,false,true,23877,western suburbs (illinois),136780,41.7481,-88.1656
9b4d5d4ab03bc360,kumasi,city,false,false,true,18428,ashanti-kwahu,"",6.6667,-1.6167
9f5fb8585663a36f,nioumachoua,city,false,false,true,24646,moheli,22652,-12.361,43.715
8535f3fa03d7251d,garden city (south carolina),city,false,false,true,12419,grand strand,13211,33.587778,-79.005278
5ae7a607b0e36d39,siesta key,city,false,false,true,32722,treasure coast,36638,27.30194,-82.55139
6cdc216eb0ed2f64,tongariro national park,park,false,false,false,36320,central north island,6547,-39.2000,175.5833
dc279ab582fa71a9,khunjerab national park,park,false,false,false,142833,gilgit-baltistan,"",36.59,75.40
9c651ab4dce71ec2,caprivi,region,false,true,false,5938,namibia,23806,-17.8700,23.0300
112975fbdb6bccda,phoenix,city,false,false,true,27501,greater phoenix,13299,33.509,-112.074
3dc70c92a3c8cbde,zaporizhzhia,city,false,false,true,40295,eastern ukraine,10431,47.837777777778,35.138333333333
d4c786d4d31ebd35,dazu,city,false,false,true,9127,chongqing (municipality),160624,29.7029,105.7167
9356a9bb21005316,karcag,"","","","",189181,lake tisza,167824,47.311,20.916
9c41ed25ba070667,diving inland in south africa/wondergat,"","","","",9619,diving inland in south africa,9614,-26.869250,26.869250
af04ec778561dd7f,montville (new jersey),city,false,false,true,22928,morris county (new jersey),23053,40.91472,-74.38389
5d03bcb3f16df0ee,bowie,city,false,false,true,4460,prince george's county,28477,38.964722,-76.744444
c6c858952dd270ca,diving inland in south africa/boesmansgat,"","","","",9617,diving inland in south africa,9614,-27.921667,23.641667
626fb578989cbc69,ivanovo,city,false,false,true,15958,ivanovo oblast,15959,56.9967,40.9819
c17996ecf8d0dd5a,nha trang,city,false,false,true,24530,central coast (vietnam),6459,12.2500,109.1833
814c97d54c7865dc,saint jean cap ferrat,city,false,false,true,30554,alpes-maritimes,"",43.6833,7.3333
a523edf6e5cd9901,can tho,city,false,false,true,5827,southern vietnam,33621,10.0333,105.7833
bf22f69a5c18a1fa,izumi,city,false,false,true,16001,kagoshima (prefecture),16637,32.090555555556,130.35277777778
ac29a098ad897172,port blair,city,false,false,true,28124,south andaman,196205,11.6667,92.7667
068c8632e2e02859,taxco,city,false,false,true,35447,guerrero,13623,18.556388888889,-99.605
d61fb670436799e4,bach ma national park,park,false,false,false,2187,central coast (vietnam),6459,16.2000,107.8667
66352240aa34e83e,milos,"","","","",22386,cyclades,8804,36.733333333333,24.416666666667
627b0274d9248a6f,presidio,city,false,false,true,28436,trans-pecos,"",29.561389,-104.366389
ead177eaad536963,yowah,city,false,false,true,122017,outback queensland,26295,-27.968,144.637
3a82a4ca88108e7f,kosava,city,false,false,true,134789,brest oblast,4650,52.75,25.15
946850dd4aca4052,largs,city,false,false,true,19141,ayrshire,2118,55.793888888889,-4.8636111111111
7408322058ef52db,placentia (california),city,false,false,true,27782,inland cities (orange county),15629,33.882500,-117.855000
9cbddab1fd39b1de,kribi,city,false,false,true,179823,coastal cameroon,7820,"",""
44739c6d98ed2788,virgin islands,region,false,true,false,38099,caribbean,6014,18.438,-64.683
8d7f15b3e90a46b4,frederiksværk,city,false,false,true,12044,north zealand,25330,55.9667,12.0167
9a8b99b667e27ae9,san rafael de velasco,city,false,false,true,121294,"santa cruz (department, bolivia)",31369,-16.7869,-60.6738
863186883a8a87b8,diving in california,"","","","",31943,california,5614,37,-120
3daad739cb5e5903,gouda,city,false,false,true,13076,groene hart,13374,52.01643,4.71640
fc1cb39eeaf3ccb6,pincher creek,city,false,false,true,167558,southern alberta,33513,49.4865,-113.9492
15ee57f067de28f3,itaparica,city,false,false,true,15925,grande salvador,723,-12.997222222222,-38.667777777778
14570f233401b2c5,sakskøbing,city,false,false,true,30708,lolland,20034,54.8000,11.6333
dc1158acf2568cc3,samut sakhon,city,false,false,true,30885,west of bangkok,39095,13.548611,100.277500
a9b9675718a7b67a,lick observatory,city,false,false,true,160226,south bay,33378,37.341389,-121.642778
fed068fa3e9355b6,hanover (new hampshire),city,false,false,true,14050,dartmouth lake sunapee,9045,43.70244,-72.28854
6983a6e9bc055417,uusikaupunki,city,false,false,true,37461,finland proper,109722,60.8000,21.4167
edb8c7a045047c6f,vadsø,city,false,false,true,37494,finnmark,11623,70.0667,29.7667
743fc7be7c704536,bunaken,park,false,false,false,5078,northern sulawesi,25105,1.6167,124.7500
ca409be803b8db52,själö,city,false,false,true,177855,finland proper,109722,60.23,21.95
3b3cdfe325186d77,rousay,"","","","",30153,orkney islands,26104,59.166666666667,-3.0333333333333
c8dcc81a07159b85,diving in the united states,"","","","",171861,united states of america,37279,45,-104
71f0900f646e8613,bradford,city,false,false,true,4508,west yorkshire,39161,53.8000,-1.75206
bd378a174a2e2b55,château du loir,city,false,false,true,155278,pays de la loire,27057,47.69545,0.41855
c419482acaf710d1,grantham,city,false,false,true,13231,lincolnshire,19756,52.9180555556,-0.63805555556
af7d869aa55ad641,llanfairfechan,city,false,false,true,120864,conwy (county borough),8133,53.253,-03.973
07b6d7995426ef67,midwest,region,false,true,false,22314,united states of america,37279,41.997,-87.148
3f1b5818cc1cae84,ockelbo,city,false,false,true,25644,gävleborg county,20398,60.8833,16.7167
333d81187544d88a,xinjiang,region,false,true,false,39824,northwest china,25277,42.2800,86.6700
70eee35871517580,sosnowiec,city,false,false,true,33323,silesian voivodeship,32760,50.3,19.166666666667
020b81871ff075aa,călan,city,false,false,true,5564,hunedoara county,15215,45.7361111,23.0086111
128cd9c63bbb1e83,jazira canton,region,false,true,false,166598,rojava,164897,37.05,41.2167
8883ab7da765ff6b,baqubah,city,false,false,true,166001,baghdad belts,2279,33.744722,44.643611
d9f170a3ac9e4183,udumalaippettai,city,false,false,true,37110,western tamil nadu,38982,10.5833,77.2500
f0c9aa85e1f7dc75,salman pak,city,false,false,true,165639,baghdad belts,2279,33.093611,44.580833
85e43af8b6b8a443,hsinchu,city,false,false,true,15114,northern taiwan,25106,24.8047222,120.971389
b622cad0f72caaaf,raub,city,false,false,true,29281,pahang,26484,3.793055556,101.8569444
0bc9fbf11380d6b4,khulna,city,false,false,true,17475,southern bangladesh,195145,22.8167,89.5500
043dbbb16782a2fd,costa verde (marina di arbus),city,false,false,true,8350,sud sardegna,160948,39.533333,8.6
5022534338f9bc33,jiufen,city,false,false,true,16391,northern taiwan,25106,25.107,121.843
0161a5608e1acc7f,salgótarján,city,false,false,true,30758,nógrád county,160408,48.1000,19.8000
6a66719f68f7dad6,erin ijesha,city,false,false,true,189599,osun state,185495,7.65,4.916667
f1e893d624403fbb,alcamo,city,false,false,true,585,trapani (province),36568,37.9667,12.9667
d0290e2192e34a44,surin,city,false,false,true,34694,southern isaan,33556,14.883,103.493
882918cb07eb5d15,juncos,city,false,false,true,188232,eastern coast (puerto rico),119920,18.2275,-65.921111
d5aea809e4b8f91a,talairan,city,false,false,true,35168,aude,1932,43.0500,2.6667
3832ae30614c756f,siddhatek,city,false,false,true,32684,north maharashtra,25174,18.444,74.726
5191ceadfdc0516f,prairie du chien,city,false,false,true,28392,southern wisconsin river valley,119989,43.0667,-91.2333
6ca242add6c5c8bc,french polynesia,country,true,false,false,12097,polynesia,28012,-17.5,-149.6
09bf39b593f1322b,san vito lo capo,city,false,false,true,31524,trapani (province),36568,38.1667,12.7500
94caa8ede3f31572,chatham islands,"","","","",6907,new zealand,24510,-44.0,-176.4
6ba10991012935c8,blue ridge (georgia),city,false,false,true,4074,northeast high country,24968,34.868333,-84.321111
66b206032aaf150c,sinharaja forest reserve,park,false,false,false,127339,southern province (sri lanka),33593,6.39651,80.48309
279fae04937773ff,san francisco (mexico),city,false,false,true,188897,nayarit,24027,20.8992083,-105.4127887
7eaa43c9f7769eb1,montezuma,city,false,false,true,22836,central pacific (costa rica),6553,9.65,-85.066666667
f9ebf9e5ca414e3d,ashnak,city,false,false,true,187513,central armenia,6437,40.3275,43.9167
d2ca7ff571aef14c,natural bridges national monument,park,false,false,false,23993,canyon country,5844,37.601,-110.014
5cf20405532e16a6,utrecht hill ridge,region,false,true,false,115598,utrecht (province),37445,52.055,5.399
919e2e66bc8b839b,são miguel dos milagres,city,false,false,true,183959,alagoas,488,-9.2678,-35.3747
fe5c2886fe111f9e,khairpur,city,false,false,true,129460,northern sindh,131473,27.533,68.767
2fda8c108c65707c,wałbrzych,city,false,false,true,126909,dolnośląskie,"",50.76980,16.28388
b561955e7b0e864c,piaçabuçu,city,false,false,true,123298,alagoas,488,-10.405833,-36.433889
f0732f076991e670,riyadh,city,false,false,true,29836,nejd,24098,24.6333,46.7167
5490ec7e3df25c4a,ben nevis,park,false,false,false,3419,scottish highlands,31925,56.7966,-5.0036
604e8d879557e72a,vila nova de gaia,city,false,false,true,38007,douro litoral,9983,41.133333333333,-8.6166666666667
271f8c7d518ea5b1,mahdia,city,false,false,true,161899,northern tunisia,25116,35.5,11.066667
